ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
BGR,5320.56,5.63,5.67,2.14
BGR,5442.22,2.21,2.88,0.66
BGR,5662.2,3.82,2.37,1.02
BGR,5797.42,4.24,4.56,1.06
BGR,5974.68,3.35,3.63,1.07
BGR,6165.97,3.37,3.35,-0.08
BGR,6460.48,3.68,1.29,-1.31
BGR,6172.38,-1.66,1.16,-3.95
BGR,5927.82,5.65,5.75,1.52
BGR,5792.92,4.39,4.47,1.35
BGR,5650.97,3.33,3.28,0.17
BGR,5628.43,-0.11,-0.14,-2.58
BGR,5645.98,0.58,0.64,-1.4
BGR,5666.9,3.04,3.02,1.28
BGR,5692.18,2.52,2.57,1.38
BGR,5793.06,0.94,0.96,0.92
BGR,5791.59,2.66,2.58,1.0
BGR,5712.24,5.4,5.23,2.79
BGR,5480.72,-1.47,0.87,-3.12
BGR,5523.9,7.71,6.94,5.71
BGR,5576.44,2.95,3.06,2.39
BGR,5776.81,0.8,-1.65,-1.72
BGR,5718.82,1.72,3.85,0.8
BGR,5679.75,3.54,3.55,1.92
BFA,NA,-3.9,NA,-5.12
BFA,NA,5.95,NA,4.16
BFA,NA,-2.7,NA,-3.84
BFA,NA,0.54,NA,-0.26
BFA,NA,-5.91,NA,-5.41
BFA,NA,4.19,NA,1.86
BFA,NA,9.89,NA,6.85
BFA,NA,5.28,NA,1.84
BFA,NA,6.13,NA,3.22
BFA,NA,6.75,NA,4.76
BFA,NA,1.04,NA,-0.34
BFA,NA,6.02,NA,4.6
BFA,NA,4.08,NA,2.73
BFA,NA,8.14,NA,5.87
BFA,NA,4.01,NA,1.87
BFA,11409.59,7.91,NA,5.31
BFA,11507.3,5.86,5.35,2.74
BFA,11988.33,0.36,-0.07,-1.29
BFA,12555.74,1.32,1.02,0.27
BFA,12809.01,1.19,0.93,-1.9
BFA,13030.54,6.96,6.6,2.73
BFA,12879.74,8.2,7.87,2.21
BFA,12836.96,7.14,6.81,1.37
BFA,13062.55,4.28,3.97,-0.11
BFA,13289.9,2.84,2.54,-0.07
BFA,13229.3,4.52,4.4,0.1
