ISO3,year,eci
GHA,2015,-1.0076096998
GHA,2017,-1.0827019179
GHA,2012,-1.1363234021
GHA,2022,-1.0516250408
GHA,2020,-1.2593211705
GHA,2018,-1.3154796555
GHA,2021,-1.1906162171
GHA,2019,-1.3310469335
GIN,2007,-1.7083659967
GIN,2008,-1.9906942417
GIN,2010,-1.7935171267
GIN,2009,-1.9706165436
GIN,2011,-1.7624726561
GIN,2015,-1.4170255392
GIN,2016,-1.6319941864
GIN,2017,-1.5894194317
GIN,2018,-1.7304845349
GIN,2019,-1.5246403144
GIN,2013,-1.5400377693
GIN,2012,-1.9372328473
GIN,2014,-1.6324638728
GIN,2020,-1.7922588053
GIN,2021,-1.8554674734
GIN,2022,-2.0158341219
GIN,2023,-2.1759246458
LBR,2021,-0.8233718197
LBR,2015,-0.9329189002
LBR,2022,-1.0541319184
LBR,2023,-1.436257069
MLI,2008,-0.5486197729
MLI,2011,-0.7847982441
MLI,2017,-0.802264314
MLI,2012,-0.8469121218
MLI,2019,-0.9343374423
MLI,2013,-0.8832897877
MLI,2018,-0.8819186425
MLI,2014,-0.9483641308
MLI,2020,-1.0333671581
MLI,2016,-1.0886766733
MLI,2015,-1.2716101592
MLI,2023,-1.4064809867
MLI,2021,-1.4970633308
MLI,2022,-1.9755333459
MRT,2016,-0.8889573472
MRT,2012,-1.0436163744
MRT,2011,-0.9693537602
MRT,2007,-1.2558196029
MRT,2008,-1.3117529383
MRT,2009,-1.1509811386
MRT,2014,-1.0112982347
MRT,2017,-1.0032899986
MRT,2015,-0.9828962472
MRT,2013,-1.0886873218
MRT,2018,-1.0541534537
MRT,2019,-1.1596948365
MRT,2023,-1.1280628905
MRT,2010,-1.4730508295
MRT,2022,-1.2614340263
MRT,2020,-1.3084696138
MRT,2021,-1.3034698727
NER,2022,-0.659320601
NER,2021,-0.6676286132
NER,2020,-0.7087143969
NER,2023,-0.6292191661
NER,2013,-0.8296022739
NER,2014,-0.7503293219
NER,2015,-0.8112243748
NGA,1998,-2.1624582405
NGA,1999,-1.8574681203
NGA,2000,-2.3093299223
NGA,2002,-1.6184994265
NGA,2003,-1.3977750301
NGA,2001,-2.23087993
NGA,2004,-1.5022455728
NGA,2005,-1.8475324389
NGA,2006,-2.0463721828
NGA,2008,-1.637142147
NGA,2007,-2.0052580061
NGA,2009,-1.819955874
NGA,2010,-1.8114266693
NGA,2016,-1.4914813175
NGA,2011,-1.8405888355
NGA,2015,-1.4695360043
NGA,2022,-1.6177949282
NGA,2014,-1.4234718022
NGA,2017,-1.7703900619
NGA,2013,-1.5347079194
NGA,2018,-1.8139691613
NGA,2019,-1.5919961419
NGA,2021,-1.5911524149
NGA,2012,-1.7241068604
NGA,2020,-1.6501193395
NGA,2023,-1.7481877342
SEN,2007,-0.0779602917
SEN,2008,-0.23842944160000001
SEN,2009,-0.3494061803
SEN,2016,-0.5038520408
SEN,2017,-0.5215273669
SEN,2010,-0.4761493723
SEN,2022,-0.4930457932
SEN,2015,-0.4026250961
SEN,2011,-0.5225261252
SEN,2021,-0.5800899798
SEN,2013,-0.5502801619
SEN,2014,-0.4526256233
SEN,2023,-0.5115993371
SEN,2020,-0.6542071809
SEN,2012,-0.6257215783
SEN,2019,-0.7217527539
SEN,2018,-0.665032919
SLE,2015,-0.4862792301
SLE,2014,-0.7877054974
TGO,2016,-0.5427732523
TGO,2018,-0.6473206022
TGO,2017,-0.6672486461
TGO,2010,-0.7750448733
TGO,2014,-0.5674372912
TGO,2015,-0.5844519425
TGO,2009,-0.783189986
TGO,2011,-0.7568321291
TGO,2013,-0.7455252214
TGO,2020,-0.738503231
TGO,2019,-0.8207479419
TGO,2012,-0.893814742
TGO,2023,-0.8458661926
TGO,2021,-0.9561843313
TGO,2022,-0.9631300014
KAZ,1998,0.393328956
KAZ,1999,-0.0144330742
KAZ,2001,-0.0358274466
KAZ,2000,-0.155236657
KAZ,2002,-0.2026000128
