ISO3,year,output_gap_pct
USA,1999,3.127
USA,2000,3.682
USA,2001,1.462
USA,2002,0.153
USA,2003,-0.039
USA,2004,0.871
USA,2005,1.643
USA,2006,2.043
USA,2007,2.03
USA,2008,0.522
USA,2009,-3.384
USA,2010,-2.37
USA,2011,-2.529
USA,2012,-2.141
USA,2013,-2.058
USA,2014,-1.719
USA,2015,-1.062
USA,2016,-1.468
USA,2017,-1.287
USA,2018,-0.597
USA,2019,0.054
USA,2020,-3.38
USA,2021,0.127
USA,2022,0.136
USA,2023,0.29
USA,2024,0.385
USA,2025,0.064
USA,2026,-0.029
USA,2027,-0.018
USA,2028,0.025
USA,2029,0.041
USA,2030,0.014
