ISO3,year,gdp_usd,gdp_growth,gdp_pc,gdp_pc_growth
POL,1997,247.014969133712,6.3589050564029,6441.35215173008,6.38902800231155
POL,1998,258.431019345109,4.62160259009161,6742.89184108373,4.68131041822741
POL,1999,270.575172488204,4.69918555979433,7066.89303924224,4.80507778850012
POL,2000,283.174060532372,4.6563355862657,7401.68160941446,4.73742234830991
POL,2001,286.667708755474,1.23374585106208,7495.09851766946,1.26210384591773
POL,2002,292.117819150422,1.90119438935372,7641.18081949955,1.94903778096717
POL,2003,302.410209358642,3.52336952198013,7915.76738728714,3.59350961944096
POL,2004,317.805309747606,5.09080047979035,8326.57916378874,5.18979091226663
POL,2005,328.168377930439,3.26082285757363,8607.83536776925,3.3778121656929
POL,2006,348.521717928312,6.20210275171224,9154.47950225199,6.35054123513525
POL,2007,372.083358800932,6.76045126044813,9786.40817262209,6.90294483935043
POL,2008,388.394637409973,4.38376998681282,10222.0138742849,4.45112950511841
POL,2009,398.55166132783,2.61512980343654,10487.6068561856,2.59824517132396
POL,2010,411.181408576251,3.16891095280917,10793.4799859502,2.91651979292306
POL,2011,432.790896371266,5.25546324427446,11327.0417997118,4.94337150257431
POL,2012,439.334201630041,1.51188606637464,11486.5017216133,1.40778081975139
POL,2013,442.340169271929,0.684209795352996,11561.6492882672,0.65422500666552
POL,2014,459.681718895317,3.92041031496901,12013.0762163257,3.90452016665685
POL,2015,480.054173143944,4.4318608748646,12545.0852973177,4.42858324888497
POL,2016,494.605433502715,3.03117047467209,12926.378172451101,3.0393804912187
POL,2017,520.089969338067,5.15249815491822,13595.3607828482,5.17532909429197
POL,2018,552.57383888303,6.24581735085283,14449.7479917084,6.28440261723746
POL,2019,577.884611696104,4.58052318659119,15117.6254440179,4.62206989833144
POL,2020,566.121518305496,-2.03554362800613,14831.1896552676,-1.89471415210696
POL,2021,605.337577493756,6.92714513054382,15913.059194266,7.29455670209269
POL,2022,637.151066645897,5.25549550118085,16598.640100322,4.30829105633634
POL,2023,638.741462552094,0.249610491051899,16478.1888179333,-0.725669582934085
POL,2024,657.414487914132,2.92340899359024,17058.3320581589,3.52067358030425
POL,2025,680.423895508481,3.49998486759142,17839.7394165079,4.58079579928911
PRK,1990,18.5142642569939,-4.30000000002599,876.948849706402,-5.69510221066397
PRK,1991,17.6964565246992,-4.41717651289238,825.832072234325,-5.82893489046604
PRK,1992,16.4428405741501,-7.08399418154365,755.961006605659,-8.46068686090458
PRK,1993,15.7063801854366,-4.47891217695825,711.553921916194,-5.87425598694003
PRK,1994,15.3748593673855,-2.11073980215066,686.562317202978,-3.51225732069819
PRK,1995,14.7023034220782,-4.37438762356396,648.555571978666,-5.5358041465411
PRK,1996,14.2094093486773,-3.35249558692096,620.613512600872,-4.30835237334348
PRK,1997,13.2881599325608,-6.48337586391162,574.97545231222,-7.35370071099358
PRK,1998,13.1680153503709,-0.904147623144735,564.870523074767,-1.75745402639657
