ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp,government_investment_gdp,private_sector_investment_gdp,output_gap_pct
DNK,2001,1.12513727184818,2.89373063893077,35.6533702743688,3.172928275,16.57720567,1.601
DNK,2002,0.25165074956783,2.01993652053164,36.490846487375,2.889291252,16.31489239,0.335
DNK,2003,0.139343231220112,1.65008794955567,35.5656744455634,2.779306589,16.67197233,-0.744
DNK,2004,2.23478711297936,3.42325561677554,32.2765709683018,2.907849099,16.69888612,0.618
DNK,2005,5.20169123672472,6.05913291100631,25.8812298005319,2.691976864,17.61723823,1.737
DNK,2006,5.28642177206597,5.86811864408791,16.5185178152455,2.848345864,19.35009797,4.534
DNK,2007,5.30782310583635,5.61852606554593,11.6487220791857,3.069456224,19.08482074,4.709
DNK,2008,3.46241216187468,3.42859479444622,8.39576929261472,3.02092703,18.6944298,3.597
DNK,2009,-2.74617959792545,-2.53201736888056,12.2488768625002,3.196742958,16.67511968,-2.037
DNK,2010,-2.52055275095758,-2.14292491130214,16.1360607558293,3.352998887,15.03902557,-1.02
DNK,2011,-1.76550906340815,-1.40635920827987,16.5370683331422,3.440138279,14.77473248,-0.404
DNK,2012,-3.20248206755847,-2.93448596837297,19.8356206066971,3.698599176,15.15451384,-1.243
DNK,2013,-0.943708164475737,-0.754615211339791,19.1621425574874,3.638140859,15.54882111,-0.897
DNK,2014,1.42804335991904,1.66962755433372,19.3302199405937,3.82575318,15.64364805,-0.845
DNK,2015,-0.895032326768811,-0.511475190202374,19.0950573488602,3.606158079,16.47332876,-0.157
DNK,2016,0.302400023601953,0.490644633101454,18.7624106539977,3.702080356,17.27864612,1.355
DNK,2017,1.68899277444306,1.52023964314764,15.7268784233023,3.321826816,17.90577019,2.704
DNK,2018,0.810414959916061,0.394198102821342,13.2677257657757,3.332357884,18.43096659,2.157
DNK,2019,4.28292304733775,3.95435565586071,12.2512357632735,3.248490187,18.51116861,1.617
DNK,2020,0.362547763035172,0.0505890595248841,15.308541685471,NA,NA,-2.496
DNK,2021,4.12081025825807,3.70021071101259,9.82868959682915,NA,NA,1.818
DNK,2022,3.38932465690333,3.04753481827249,5.47425326849557,NA,NA,0.26
DNK,2023,3.43014228113967,2.57233769415384,2.12921338440586,NA,NA,-1.133
DNK,2024,4.45870992914635,3.70814909265094,-2.43057619757297,NA,NA,0.125
DNK,2025,1.80039534010793,1.00039534010793,-4.14021242282123,NA,NA,0.235
DOM,1998,-0.288584864224131,0.352636105903133,NA,4.294698943,25.05617242,NA
DOM,1999,-0.788346082917231,-0.121892032573255,NA,5.004910622,20.015866,NA
DOM,2000,-0.858676581810229,-0.111187099190865,NA,3.753404863,23.11439676,NA
DOM,2001,-0.728470420995627,0.0480286491132831,15.7634049031641,5.310723306,20.01772803,NA
DOM,2002,-2.27721122444336,-1.18312246562704,19.1569145194608,5.953029075,19.19690853,NA
DOM,2003,-4.24218706729037,-2.62235442983545,46.5945750496282,5.857522859,14.26452704,NA
DOM,2004,-3.59860183390818,-1.82560354889941,31.6392027533579,4.004957924,15.49519828,NA
DOM,2005,-0.714283665430312,0.515477232454944,32.2099410557802,3.52315456,16.70131031,NA
DOM,2006,-1.68702918483564,-0.400704866309539,29.9253178482895,3.855525307,18.31685183,NA
DOM,2007,0.281261603180349,1.40222388059968,26.0276662272663,3.737699558,19.25530297,NA
DOM,2008,-3.43037913997501,-1.91028775183892,27.9657750883332,3.960432167,19.7237915,NA
DOM,2009,-2.8959646537611,-1.0538877072611,29.8825358534808,2.991437967,17.04540443,NA
DOM,2010,-2.9747840015623,-1.1363350743933,30.2279075514884,3.13891489,18.55152017,NA
DOM,2011,-3.06807133990303,-1.03685965787474,31.907612983971,2.874725465,17.68648528,NA
DOM,2012,-6.26482679923934,-4.39107797809107,36.3776401928794,5.235432249,14.69053779,NA
DOM,2013,-4.41288145734296,-2.18274880415012,39.126486506395,2.970743147,15.56044991,NA
DOM,2014,-2.75953602577259,-0.400456327971724,37.6455833456705,1.69373177,17.2353785,NA
DOM,2015,-0.0330823180201118,2.28664630402831,37.314936804121,1.941349199,19.10334782,NA
DOM,2016,-3.10946398974658,-0.571528698961279,38.5770121594942,1.611693576,20.54934966,NA
DOM,2017,-3.12374395964451,-0.54750634654485,40.776227228168,1.596125208,19.52132478,NA
DOM,2018,-2.17464179565513,0.431020986850695,41.6916955034266,1.314751685,21.05626012,NA
DOM,2019,-3.4572835822887,-0.718199708320717,43.2909470127818,1.294166735,21.73157309,NA
DOM,2020,-7.93611673876624,-4.68282249145339,57.7128362307377,NA,NA,NA
